,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
86,92350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,4.0,0.0,0.0
87,92364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4.5,,
88,92373,40,12,28,0,0,0,0,0,0,0,2,7,19,12,0,1.7,4.0125,0.46409548089225705,0.4158324983291549,100,52,44,1,0,0,1,2,7,8,14,19,35,12,2,1.4742268041237114,3.505,0.5222703543415566,0.8211072839265112
89,92377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,7,2,0,0,0,0,0,1,1,1,4,1,1,1,1.2222222222222223,3.5,0.4409585518440984,0.8819171036881969
90,92385,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,,4,0,4,0,0,0,0,0,0,0,0,0,1,3,0,2.0,4.375,0.0,0.25
91,92391,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2.0,4.0,,0.7071067811865476
92,92401,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,20,10,4,0,0,0,2,0,2,4,2,6,1,2,1,1.2857142857142858,3.05,0.4688072309384954,1.0748316881701698
93,92407,10,4,5,1,0,0,0,0,1,0,2,2,1,4,0,1.7,3.7,0.6749485577105528,0.8563488385776752,66,48,14,1,0,0,0,4,6,9,15,17,8,6,1,1.253968253968254,3.1666666666666665,0.47411220831434875,0.8335897041541448
94,92517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,
95,92539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,3,2,0,0,0,0,0,0,1,1,1,2,2,1,1.4,3.875,0.5477225575051661,0.8345229603962802
96,92544,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
97,92548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4.5,,0.7071067811865476
98,92549,17,3,12,1,0,0,0,0,0,0,0,0,11,5,1,1.875,4.205882352941177,0.5,0.30917347120042116,19,2,15,0,0,0,1,0,0,0,0,1,10,6,1,1.8823529411764706,4.026315789473684,0.3321055820775357,0.8074941384466707
99,92585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,5,1,0,0,0,0,1,1,0,1,1,1,0,3,1.1666666666666667,3.625,0.408248290463863,1.3822858914545448
100,92619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,
101,92652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,
102,92673,20,9,11,0,0,0,0,0,0,0,2,5,7,6,0,1.55,3.925,0.5104177855340405,0.49404346708404223,50,20,21,1,0,0,3,1,1,7,5,10,12,9,2,1.5476190476190477,3.45,0.5500501508124752,1.0063573431146693
